2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	71209	1	C81
2	75770	1	C81
2	75770	1	C81
2	71343	1	C81
2	71343	1	C81
2	71343	1	C81
2	71343	1	C81
2	71343	1	C81
2	71343	1	C81
2	71343	1	C81
2	71343	1	C81
2	71343	1	C81
2	71343	1	C81
2	71343	1	C81
2	71343	1	C81
2	71343	1	C81
2	71343	1	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
2	71343	3	C81
