"","animalID","totalDetections","occasionsDetected","trapsVisited"
"71343","71343",22,6,6
"75770","75770",17,5,4
"73813","73813",15,6,3
"73165","73165",5,4,3
"75812","75812",4,2,2
"71209","71209",3,2,1
"71350","71350",2,2,2
"70961","70961",1,1,1
"71214","71214",1,1,1
"71341","71341",1,1,1
"75775","75775",1,1,1
