B81	353444.242442968	1668826.47712023
B91	354411.516589804	1669010.45925052
C71	352472.975579894	1667832.90727241
C81	353623.107558029	1667853.31615149
C91	354612.059879709	1668042.93434535
D51	350883.262855801	1666291.50928054
D61	351852.277053949	1666491.98699366
D71	352841.458562042	1666671.46489533
D81	353822.989833119	1666851.15054921
D91	354808.374852042	1667048.76829042
E51	351180.386060316	1665312.60032611
E61	352049.452015571	1665495.68902763
E71	353024.126485875	1665687.32368634
E81	354004.082720468	1665884.39999156
E91	355075.733149375	1666101.18835316
F51	351262.803244146	1664329.07056755
F71	353218.133272712	1664708.20847452
F81	354208.164970269	1664894.27240953
F91	355188.573045726	1665092.05512811
G31	349630.447179624	1662994.33534907
G41	350461.174273315	1663151.61443568
G51	351457.181214979	1663349.26575695
G61	352470.94526073	1663552.92971589
G71	353418.149792128	1663724.0791257
G81	354388.570163158	1663914.36436982
H3	349495.881219991	1661967.58493705
H4	350593.418503808	1662177.06182308
H5	351643.337588174	1662341.08358188
H6	352622.319580622	1662547.18116444
H7	353655.451826138	1662732.750483
H8	354559.321858227	1662935.18724343
I1	347917.146780616	1660617.34097382
I2	348978.345893916	1660645.75886
I3	349874.019716208	1660993.24029387
I4	350846.102992364	1661184.38533734
I5	351834.76975377	1661382.54932415
I6	352824.418754042	1661551.63837502
I7	353792.171180545	1661764.83900229
I8	354772.786033179	1661957.30108666
J4	351044.535456146	1660213.1880508
J5	352017.503964072	1660388.33397175
J6	352999.329044509	1660590.12472467
J7	353996.912285749	1660769.84224271
J8	354973.338335298	1660974.51832707
K1	348304.198242806	1658668.29495533
K2	349303.350681696	1658836.86434902
K7	354181.455602451	1659809.49954814
K9	356144.672723686	1660181.6704542
L6	353363.396547562	1658614.45764984
L8	355282.590279617	1658925.43171022
