71209	5	B81
73165	5	B81
73165	5	B81
74919	1	B91
70959	5	C71
71209	1	C81
71209	1	C81
71343	1	C81
75770	1	C81
71343	3	C81
71214	4	C81
71209	4	C81
71343	5	C81
71343	6	C81
73813	1	C91
73813	1	C91
73813	2	C91
73813	3	C91
73813	6	C91
73813	6	C91
73165	2	D51
73165	3	D51
73165	4	D51
75047	4	D51
73165	5	D51
74935	1	D61
74935	2	D61
73165	2	D61
73165	4	D61
73813	4	D61
74935	4	D61
73165	4	D61
73813	4	D61
73813	5	D61
74943	5	D61
74935	6	D61
71343	2	D71
71343	3	D71
71350	4	D71
71343	5	D71
71343	5	D71
75770	1	D81
71341	1	D81
75770	2	D81
71343	2	D81
71343	2	D81
71343	2	D81
75770	2	D81
71343	3	D81
71343	3	D81
71343	3	D81
71343	3	D81
75770	4	D81
73165	4	D81
75770	5	D81
75812	6	D81
70961	2	D91
70962	1	E51
70962	3	E51
73165	3	E51
73165	4	E51
73165	5	E51
75047	1	E61
75047	1	E61
73165	1	E61
75047	5	E61
73165	5	E61
73813	1	E71
73165	2	E71
73813	2	E71
73813	3	E71
71343	4	E71
75770	4	E71
73813	4	E71
73813	4	E71
73165	4	E71
75770	5	E71
71343	5	E71
71343	5	E71
73813	5	E71
73813	5	E71
71343	6	E71
73165	6	E71
73813	6	E71
75812	1	E81
75770	1	E81
71350	1	E81
75770	1	E81
75812	1	E81
75812	1	E81
73165	3	E81
75770	4	E81
75770	5	E81
71343	5	E81
73813	6	E81
75770	6	E81
75770	6	E81
75770	6	E81
75770	6	E81
75770	6	E81
71343	1	E91
71343	3	E91
75775	6	E91
73813	6	F51
73165	6	F71
73813	1	F81
75780	2	F81
75812	3	F81
73813	4	F81
74952	4	F81
74952	4	F81
74952	5	F81
74952	6	F81
75812	6	F81
75780	6	F81
75780	6	F81
73813	6	F81
74935	2	F91
73013	2	F91
75589	2	F91
73165	3	F91
74935	3	F91
75812	4	F91
75589	4	F91
71361	5	F91
75589	5	F91
71361	5	F91
73013	5	F91
73165	5	F91
73165	5	F91
74935	6	F91
75589	6	F91
73013	6	F91
73165	3	G31
72986	4	G31
73165	4	G41
73165	4	G41
73165	5	G41
72986	5	G41
73813	5	G41
73165	2	G61
73813	5	G61
73165	3	G71
75812	3	G71
75812	3	G71
75812	6	G71
75812	6	G71
73797	3	G81
73797	3	G81
73797	4	G81
73165	5	G81
73165	5	G81
71209	6	G81
74955	3	H3
74955	3	H3
74955	3	H3
74955	3	H3
74955	5	H3
72986	6	H3
74963	4	H4
74965	6	H4
75812	6	H5
75812	2	H6
73165	3	H6
73165	4	H6
75812	4	H6
73165	5	H6
75812	5	H6
73165	5	H6
75812	5	H6
75812	5	H6
73165	5	H6
72981	5	H6
75798	6	H6
73165	6	H6
75812	6	H6
75812	6	H6
74970	6	H6
73165	2	H7
75806	4	H7
74935	2	H8
75560	2	H8
71209	3	H8
71209	5	H8
72981	5	H8
71209	6	H8
72982	3	I1
72982	4	I1
75806	5	I1
72986	5	I1
72988	5	I1
72986	5	I1
72986	6	I1
73013	4	I2
73013	4	I2
73014	5	I2
73013	5	I2
75806	2	I3
73165	3	I3
75589	5	I3
73028	6	I3
73028	6	I3
73813	3	I4
72986	3	I4
73813	4	I4
73165	6	I4
73165	2	I5
73165	2	I5
72986	2	I5
75812	2	I5
75812	2	I5
75812	4	I5
72986	4	I5
73813	4	I5
75812	4	I5
75033	4	I5
75812	4	I5
75798	5	I5
72986	5	I5
75589	5	I6
73165	6	I6
73165	6	I6
73165	6	I6
75806	6	I6
75806	6	I6
73165	3	I7
73165	3	I7
73165	3	I7
73166	3	I7
73165	4	I7
73165	4	I7
73165	4	I7
73165	4	I7
73165	4	I7
73165	4	I7
73165	4	I7
73165	4	I7
73165	4	I7
75806	4	I7
73165	5	I7
73165	5	I7
71209	5	I7
73165	5	I7
73165	5	I7
71209	6	I7
73165	6	I7
73165	6	I7
71209	6	I7
75798	6	I7
73165	2	I8
75812	2	I8
75812	2	I8
75812	2	I8
73813	2	I8
73813	2	I8
73165	4	I8
73165	5	I8
75812	5	I8
73813	5	I8
73165	6	I8
75806	6	I8
73797	4	J6
75806	4	J6
74935	3	J7
75589	4	J7
75812	4	J7
73804	4	J7
75589	4	J7
75589	4	J7
75812	5	J7
73165	5	J7
75812	6	J7
75812	6	J7
75812	6	J7
75812	6	J7
75812	6	J7
75812	6	J7
73813	3	J8
73813	3	J8
74983	5	J8
73165	6	J8
73165	6	J8
75798	5	K1
74935	6	K1
75798	6	K1
73809	3	K2
73813	3	K7
73165	4	K7
73813	5	K7
73813	5	K7
73165	2	K9
73165	5	K9
73817	6	K9
73817	6	K9
73817	6	K9
75806	2	L6
75806	3	L8
75806	3	L8
73165	4	L8
73165	4	L8
73165	5	L8
73165	5	L8
75812	6	L8
75806	6	L8
