71209	1	C81
71209	1	C81
71343	1	C81
75770	1	C81
71343	3	C81
71214	4	C81
71209	4	C81
71343	5	C81
71343	6	C81
71209	6	C81
71343	6	C81
73813	1	C91
73813	1	C91
73813	1	C91
73813	3	C91
73813	6	C91
73813	6	C91
71343	2	D71
71343	3	D71
71350	4	D71
71343	5	D71
71343	5	D71
75770	1	D81
71341	1	D81
75770	2	D81
71343	2	D81
71343	2	D81
71343	2	D81
75770	2	D81
71343	3	D81
71343	3	D81
71343	3	D81
71343	3	D81
75770	4	D81
73165	4	D81
75770	5	D81
75812	6	D81
70961	2	D91
73813	1	E71
73165	2	E71
73813	2	E71
73813	3	E71
71343	4	E71
75770	4	E71
73813	4	E71
73813	4	E71
73165	4	E71
75770	5	E71
71343	5	E71
71343	5	E71
73813	5	E71
73813	5	E71
71343	5	E71
73165	6	E71
73813	6	E71
73813	6	E71
75812	1	E81
75770	1	E81
71350	1	E81
75770	1	E81
75812	1	E81
75812	1	E81
73165	3	E81
75770	3	E81
75770	5	E81
71343	5	E81
73813	6	E81
75770	6	E81
75770	6	E81
75770	6	E81
75770	6	E81
75770	6	E81
71343	6	E81
71343	1	E91
71343	3	E91
75775	6	E91
