3	70959	5	C71	1
3	70961	2	D91	1
3	70962	1	E51	1
3	70962	3	E51	1
3	71209	1	C81	2
3	71209	3	H8	1
3	71209	4	C81	1
3	71209	5	B81	1
3	71209	5	H8	1
3	71209	5	I7	1
3	71209	6	G81	1
3	71209	6	H8	1
3	71209	6	I7	2
3	71214	4	C81	1
3	71341	1	D81	1
3	71343	1	C81	1
3	71343	1	E91	1
3	71343	2	D71	1
3	71343	2	D81	3
3	71343	3	C81	1
3	71343	3	D71	1
3	71343	3	D81	4
3	71343	3	E91	1
3	71343	4	E71	1
3	71343	5	C81	1
3	71343	5	D71	2
3	71343	5	E71	2
3	71343	5	E81	1
3	71343	6	C81	1
3	71343	6	E71	1
3	71350	1	E81	1
3	71350	4	D71	1
3	71361	5	F91	2
3	72981	5	H6	1
3	72981	5	H8	1
3	72982	3	I1	1
3	72982	4	I1	1
3	72986	2	I5	1
3	72986	3	I4	1
3	72986	4	G31	1
3	72986	4	I5	1
3	72986	5	G41	1
3	72986	5	I1	2
3	72986	5	I5	1
3	72986	6	H3	1
3	72986	6	I1	1
3	72988	5	I1	1
3	73013	2	F91	1
3	73013	4	I2	2
3	73013	5	F91	1
3	73013	5	I2	1
3	73013	6	F91	1
3	73014	5	I2	1
3	73028	6	I3	2
3	73165	1	E61	1
3	73165	2	D51	1
3	73165	2	D61	1
3	73165	2	E71	1
3	73165	2	G61	1
3	73165	2	H7	1
3	73165	2	I5	2
3	73165	2	I8	1
3	73165	2	K9	1
3	73165	3	D51	1
3	73165	3	E51	1
3	73165	3	E81	1
3	73165	3	F91	1
3	73165	3	G31	1
3	73165	3	G71	1
3	73165	3	H6	1
3	73165	3	I3	1
3	73165	3	I7	3
3	73165	4	D51	1
3	73165	4	D61	2
3	73165	4	D81	1
3	73165	4	E51	1
3	73165	4	E71	1
3	73165	4	G41	2
3	73165	4	H6	1
3	73165	4	I7	9
3	73165	4	I8	1
3	73165	4	K7	1
3	73165	4	L8	2
3	73165	5	B81	2
3	73165	5	D51	1
3	73165	5	E51	1
3	73165	5	E61	1
3	73165	5	F91	2
3	73165	5	G41	1
3	73165	5	G81	2
3	73165	5	H6	3
3	73165	5	I7	4
3	73165	5	I8	1
3	73165	5	J7	1
3	73165	5	K9	1
3	73165	5	L8	2
3	73165	6	E71	1
3	73165	6	F71	1
3	73165	6	H6	1
3	73165	6	I4	1
3	73165	6	I6	3
3	73165	6	I7	2
3	73165	6	I8	1
3	73165	6	J8	2
3	73166	3	I7	1
3	73797	3	G81	2
3	73797	4	G81	1
3	73797	4	J6	1
3	73804	4	J7	1
3	73809	3	K2	1
3	73813	1	C91	2
3	73813	1	E71	1
3	73813	1	F81	1
3	73813	2	C91	1
3	73813	2	E71	1
3	73813	2	I8	2
3	73813	3	C91	1
3	73813	3	E71	1
3	73813	3	I4	1
3	73813	3	J8	2
3	73813	3	K7	1
3	73813	4	D61	2
3	73813	4	E71	2
3	73813	4	F81	1
3	73813	4	I4	1
3	73813	4	I5	1
3	73813	5	D61	1
3	73813	5	E71	2
3	73813	5	G41	1
3	73813	5	G61	1
3	73813	5	I8	1
3	73813	5	K7	2
3	73813	6	C91	2
3	73813	6	E71	1
3	73813	6	E81	1
3	73813	6	F51	1
3	73813	6	F81	1
3	73817	6	K9	3
3	74919	1	B91	1
3	74935	1	D61	1
3	74935	2	D61	1
3	74935	2	F91	1
3	74935	2	H8	1
3	74935	3	F91	1
3	74935	3	J7	1
3	74935	4	D61	1
3	74935	6	D61	1
3	74935	6	F91	1
3	74935	6	K1	1
3	74943	5	D61	1
3	74952	4	F81	2
3	74952	5	F81	1
3	74952	6	F81	1
3	74955	3	H3	4
3	74955	5	H3	1
3	74963	4	H4	1
3	74965	6	H4	1
3	74970	6	H6	1
3	74983	5	J8	1
3	75033	4	I5	1
3	75047	1	E61	2
3	75047	4	D51	1
3	75047	5	E61	1
3	75560	2	H8	1
3	75589	2	F91	1
3	75589	4	F91	1
3	75589	4	J7	3
3	75589	5	F91	1
3	75589	5	I3	1
3	75589	5	I6	1
3	75589	6	F91	1
3	75770	1	C81	1
3	75770	1	D81	1
3	75770	1	E81	2
3	75770	2	D81	2
3	75770	4	D81	1
3	75770	4	E71	1
3	75770	4	E81	1
3	75770	5	D81	1
3	75770	5	E71	1
3	75770	5	E81	1
3	75770	6	E81	5
3	75775	6	E91	1
3	75780	2	F81	1
3	75780	6	F81	2
3	75798	5	I5	1
3	75798	5	K1	1
3	75798	6	H6	1
3	75798	6	I7	1
3	75798	6	K1	1
3	75806	2	I3	1
3	75806	2	L6	1
3	75806	3	L8	2
3	75806	4	H7	1
3	75806	4	I7	1
3	75806	4	J6	1
3	75806	5	I1	1
3	75806	6	I6	2
3	75806	6	I8	1
3	75806	6	L8	1
3	75812	1	E81	3
3	75812	2	H6	1
3	75812	2	I5	2
3	75812	2	I8	3
3	75812	3	F81	1
3	75812	3	G71	2
3	75812	4	F91	1
3	75812	4	H6	1
3	75812	4	I5	3
3	75812	4	J7	1
3	75812	5	H6	3
3	75812	5	I8	1
3	75812	5	J7	1
3	75812	6	D81	1
3	75812	6	F81	1
3	75812	6	G71	2
3	75812	6	H5	1
3	75812	6	H6	2
3	75812	6	J7	6
3	75812	6	L8	1
